id,name,parent_id/id,is_agri,cost_type,cost_driver,uom_id/id,sale_ok,purchase_ok
agri.product_category_crop_vegetables,Vegetables,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_non_agri_verges,Verges,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_ha,,True
agri.product_category_permanent_crop_walnuts,Walnuts,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_crop_watermelons,Watermelons,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_non_agri_waterways,Waterways,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_ha,,True
agri.product_category_wattles,Wattles,agri.product_category_timber,True,timber,land,agri.agri_uom_ha,,True
agri.product_category_crop_wheat,Wheat,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_willows,Willows,agri.product_category_timber,True,timber,land,agri.agri_uom_ha,,True
agri.product_category_permanent_crop_wine_grapes,Wine grapes,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_youngberries,Youngberries,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_crop_zucchini,Zucchini,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
